Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,carbs (product.metafields.custom.carbs),fats (product.metafields.custom.fats),ingredients (product.metafields.custom.ingredients),protein (product.metafields.custom.protein),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
protein-birthday-cake-chocolate,Birthday Cake — Chocolate,"<p>ingredients: eggs,almond flour,raw cocoa powder, almond milk,</p><p>12 pieces. 20 cm. per piece. cal 100 - carb 2.4 - pro 3.7 - fat 9</p>",Balanced Bites,,Dessert,"birthday cake, chocolate, dessert, protein jar",true,Title,Default Title,,,,,,,,PROTEINBIRTHDAYCAKEC,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Cake_-_Chocolate_Cake_-_Chocolate_round_cake.jpg,1,,false,,,,,,,,kg,,,active
protein-birthday-cake-almond-vanilla,Birthday Cake — Almond Vanilla,"<p>ingredients: eggs,sour cream,natural butter,almond flour,almond milk, coconut flour,monkfruit&amp; stevia sweetener</p><p>12 pieces. 20 cm. per piece. cal 227 - fat 20.5 - carb 6 - pro 6.8</p>",Balanced Bites,,Dessert,"almond, birthday cake, dessert, protein jar",true,Title,Default Title,,,,,,,,PROTEINBIRTHDAYCAKEA,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Cake_-_Almond_Cake_-_Almond_Cake.jpg,1,,false,,,,,,,,kg,,,active
protein-kahk,Kahk,"<p>16 / 8 pieces. per piece. cal 89 - carb 3.5 - pro 2.2 - fat 7.8 ingredients: almond flour, coconut flour, fresh cream, natural butter, stevia</p>",Balanced Bites,,Dessert,"dessert, eid, kahk, protein jar",true,Title,Default Title,,,,,,,,PROTEINKAHK,0.0,,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,active
protein-chocolate-cookies,Chocolate Cookies,<p>6 cookies. per one. pro 7 - carb 9 - fat 28.5 - cal 305</p>,Balanced Bites,,Dessert,"cookies, dessert, protein jar",true,Title,Default Title,,,,,,,,PROTEINCHOCOLATECOOK,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Cookies_-_Chocolate_Cookies.jpg,1,,false,,,,,,,,kg,,,active
protein-chocolate-chip-cookies,Chocolate Chip Cookies,<p>per one. cal 300 - fat 28 - pro 7 - carb 8. 6 cookies</p>,Balanced Bites,,Dessert,"cookies, dessert, protein jar",true,Title,Default Title,,,,,,,,PROTEINCHOCOLATECHIP,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Cookies_-_Cookies_with_Cranberries.jpg,1,,false,,,,,,,,kg,,,active
protein-vanilla-cupcake,Vanilla Cupcake,<p>per one. cal 133  fat 8.1  protein 8.1  carb 3.7</p>,Balanced Bites,,Dessert,"cupcake, dessert, protein jar",true,Title,Default Title,,,,,,,,PROTEINVANILLACUPCAK,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Cake_-_Almond_Cake_-_Almond_Cupcake.png,1,,false,,,,,,,,kg,,,active
mixed-cabbage-salad-beetroot-carrot,Mixed Cabbage Salad with Beetroot and Carrot,<p><strong>Mixed Cabbage Salad with Beetroot and Carrot</strong></p>,Balanced Bites,,Salad,"fresh, salad",true,Title,Default Title,,,,,,,,MIXEDCABBAGESALADBEE,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Mixed_Cabbage_Salad_With_Beetroot_Carrot.png,1,Mixed Cabbage Salad with Beetroot and Carrot — photo 1,false,,,,,,,,kg,,,active
creamy-beetroot-hummus-tahini,Creamy Beetroot Hummus with Tahini,<p><strong>Creamy Beetroot Hummus with Tahini</strong></p>,Balanced Bites,,Side Dish,"dip, hummus, side",true,Title,Default Title,,,,,,,,CREAMYBEETROOTHUMMUS,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Creamy_Beetroot_Hummus_With_Tahini.png,1,Creamy Beetroot Hummus with Tahini — photo 1,false,,,,,,,,kg,,,active
boiled-sweet-potato,Boiled Sweet Potato,<p><strong>Boiled Sweet Potato</strong></p>,Balanced Bites,,Side Dish,"side, sweet potato",true,Title,Default Title,,,,,,,,BOILEDSWEETPOTATO,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Boiled_Sweet_Potato.png,1,Boiled Sweet Potato — photo 1,false,,,,,,,,kg,,,active
grilled-sweet-potato-whole,Grilled Sweet Potato (Whole),<p><strong>Whole grilled/baked sweet potato</strong></p>,Balanced Bites,,Side Dish,"side, sweet potato",true,Title,Default Title,,,,,,,,GRILLEDSWEETPOTATOWH,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Grilled_Sweet_Potato.png,1,Grilled Sweet Potato (Whole) — photo 1,false,,,,,,,,kg,,,active
grilled-sweet-potato-whole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0040.jpg,2,Grilled Sweet Potato (Whole) — photo 2,,,,,,,,,,,,
grilled-sweet-potato-fingers,Grilled Sweet Potato Fingers,<p><strong>Grilled Sweet Potato Fingers</strong></p>,Balanced Bites,,Side Dish,"side, sweet potato",true,Title,Default Title,,,,,,,,GRILLEDSWEETPOTATOFI,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Grilled_Sweet_Potato_fingers.png,1,Grilled Sweet Potato Fingers — photo 1,false,,,,,,,,kg,,,active
grilled-sweet-potato-fingers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0039.jpg,2,Grilled Sweet Potato Fingers — photo 2,,,,,,,,,,,,
roasted-potatoes-zucchini-carrots,"Roasted Potatoes, Zucchini and Carrots","<p><strong>Roasted Potatoes, Zucchini and Carrots</strong></p>",Balanced Bites,,Side Dish,"side, vegetables",true,Title,Default Title,,,,,,,,ROASTEDPOTATOESZUCCH,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0037.jpg,1,"Roasted Potatoes, Zucchini and Carrots — photo 1",false,,,,,,,,kg,,,active
cheesy-baked-chicken-meatballs,Cheesy Baked Chicken Meatballs with Caramelized Onion,<p><strong>Cheesy Baked Chicken Meatballs with Caramelized Onion</strong></p>,Balanced Bites,,Prepared Meal,"high-protein, meal, meatball",true,Title,Default Title,,,,,,,,CHEESYBAKEDCHICKENME,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0041.jpg,1,Cheesy Baked Chicken Meatballs with Caramelized Onion — photo 1,false,,,,,,,,kg,,,active
cheesy-baked-chicken-meatballs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0042.jpg,2,Cheesy Baked Chicken Meatballs with Caramelized Onion — photo 2,,,,,,,,,,,,
stuffed-bell-peppers,Stuffed Bell Peppers (Beef or Chicken),<p><strong>Stuffed Bell Peppers with Ground Beef or Chicken</strong></p>,Balanced Bites,,Prepared Meal,"high-protein, low-carb, meal",true,Title,Default Title,,,,,,,,STUFFEDBELLPEPPERS,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0035.jpg,1,Stuffed Bell Peppers (Beef or Chicken) — photo 1,false,,,,,,,,kg,,,active
keto-swedish-meatball,Keto Swedish Meatball,<p><strong>Keto Swedish Meatball</strong></p>,Balanced Bites,,Prepared Meal,"high-protein, keto, meal, meatball",true,Title,Default Title,,,,,,,,KETOSWEDISHMEATBALL,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0034.jpg,1,Keto Swedish Meatball — photo 1,false,,,,,,,,kg,,,active
chicken-shish-tawook,Chicken Shish Tawook,<p><strong>Chicken Shish Tawook</strong></p>,Balanced Bites,,Prepared Meal,"grill, high-protein, meal",true,Title,Default Title,,,,,,,,CHICKENSHISHTAWOOK,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0032.jpg,1,Chicken Shish Tawook — photo 1,false,,,,,,,,kg,,,active
dawood-basha-kofta,Dawood Basha Kofta,<p><strong>Dawood Basha Kofta</strong></p>,Balanced Bites,,Prepared Meal,"arabic, high-protein, kofta, meal",true,Title,Default Title,,,,,,,,DAWOODBASHAKOFTA,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0030.jpg,1,Dawood Basha Kofta — photo 1,false,,,,,,,,kg,,,active
doner-kabab,Doner Kebab,<p><strong>Doner Kebab</strong></p>,Balanced Bites,,Prepared Meal,"doner, high-protein, meal",true,Title,Default Title,,,,,,,,DONERKABAB,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0029.jpg,1,Doner Kebab — photo 1,false,,,,,,,,kg,,,active
classic-beef-stroganoff,Classic Beef Stroganoff,<p><strong>Classic Beef Stroganoff</strong></p>,Balanced Bites,,Prepared Meal,"high-protein, meal, stroganoff",true,Title,Default Title,,,,,,,,CLASSICBEEFSTROGANOF,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/IMG-20260415-WA0026.jpg,1,Classic Beef Stroganoff — photo 1,false,,,,,,,,kg,,,active
