Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,carbs (product.metafields.custom.carbs),fats (product.metafields.custom.fats),ingredients (product.metafields.custom.ingredients),protein (product.metafields.custom.protein),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
protein-birthday-cake-chocolate,Birthday Cake — Chocolate,"<p>ingredients: eggs,almond flour,raw cocoa powder, almond milk,</p><p>12 pieces. 20 cm. per piece. cal 100 - carb 2.4 - pro 3.7 - fat 9</p>",Balanced Bites,,Dessert,"birthday cake, chocolate, dessert, protein jar",false,Title,Default Title,,,,,,,,PROTEINBIRTHDAYCAKEC,0.0,,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,draft
protein-birthday-cake-almond-vanilla,Birthday Cake — Almond Vanilla,"<p>ingredients: eggs,sour cream,natural butter,almond flour,almond milk, coconut flour,monkfruit&amp; stevia sweetener</p><p>12 pieces. 20 cm. per piece. cal 227 - fat 20.5 - carb 6 - pro 6.8</p>",Balanced Bites,,Dessert,"almond, birthday cake, dessert, protein jar",false,Title,Default Title,,,,,,,,PROTEINBIRTHDAYCAKEA,0.0,,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,draft
protein-kahk,Kahk,"<p>16 / 8 pieces. per piece. cal 89 - carb 3.5 - pro 2.2 - fat 7.8 ingredients: almond flour, coconut flour, fresh cream, natural butter, stevia</p>",Balanced Bites,,Dessert,"dessert, eid, kahk, protein jar",false,Title,Default Title,,,,,,,,PROTEINKAHK,0.0,,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,draft
protein-coconut-truffle,Coconut Truffle,<p>per box 5 pieces. carb 12 - fat 44 - pro 4 - cal 540</p>,Balanced Bites,,Dessert,"dessert, protein jar, truffle",false,Title,Default Title,,,,,,,,PROTEINCOCONUTTRUFFL,0.0,,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,draft
protein-brownies,Brownies,<p>6 pieces. fat 16 - pro 4 - carb 9 - cal 185</p>,Balanced Bites,,Dessert,"brownies, dessert, protein jar",false,Title,Default Title,,,,,,,,PROTEINBROWNIES,0.0,,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,draft
protein-basbousa,Basbousa,<p>6 pieces. per piece. cal 170 - carb 6 - fat 15 - pro 5</p>,Balanced Bites,,Dessert,"basbousa, dessert, protein jar",false,Title,Default Title,,,,,,,,PROTEINBASBOUSA,0.0,,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,draft
protein-lazy-cake,Lazy Cake,<p>pro 10 - carb 17 - fat 51 - cal 540</p>,Balanced Bites,,Dessert,"cake, dessert, protein jar",false,Title,Default Title,,,,,,,,PROTEINLAZYCAKE,0.0,,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,draft
protein-chocolate-cookies,Chocolate Cookies,<p>6 cookies. per one. pro 7 - carb 9 - fat 28.5 - cal 305</p>,Balanced Bites,,Dessert,"cookies, dessert, protein jar",false,Title,Default Title,,,,,,,,PROTEINCHOCOLATECOOK,0.0,,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,draft
protein-chocolate-chip-cookies,Chocolate Chip Cookies,<p>per one. cal 300 - fat 28 - pro 7 - carb 8. 6 cookies</p>,Balanced Bites,,Dessert,"cookies, dessert, protein jar",false,Title,Default Title,,,,,,,,PROTEINCHOCOLATECHIP,0.0,,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,draft
protein-chocolate-cupcake,Chocolate Cupcake,<p>per one. cal 100  - fat 9  -pro 3.7 - carb 2.4</p>,Balanced Bites,,Dessert,"cupcake, dessert, protein jar",false,Title,Default Title,,,,,,,,PROTEINCHOCOLATECUPC,0.0,,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,draft
protein-vanilla-cupcake,Vanilla Cupcake,<p>per one. cal 133  fat 8.1  protein 8.1  carb 3.7</p>,Balanced Bites,,Dessert,"cupcake, dessert, protein jar",false,Title,Default Title,,,,,,,,PROTEINVANILLACUPCAK,0.0,,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,draft
protein-peanut-butter-tart,Peanut Butter Tart,<p>24 pieces / 12 pieces. cal 110  fat 10 protein 3 carb 4</p>,Balanced Bites,,Dessert,"dessert, protein jar, tart",false,Title,Default Title,,,,,,,,PROTEINPEANUTBUTTERT,0.0,,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,,,,,,kg,,,draft
mixed-cabbage-salad-beetroot-carrot,Mixed Cabbage Salad with Beetroot and Carrot,<p><strong>Mixed Cabbage Salad with Beetroot and Carrot</strong></p>,Balanced Bites,,Salad,"fresh, salad",false,Title,Default Title,,,,,,,,MIXEDCABBAGESALADBEE,0.0,,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0720/3592/6147/files/Mixed_Cabbage_Salad_With_Beetroot_Carrot_ecce24a0-9ecc-4fdd-bc5a-028532d5209b.png?v=1777381797,1,Mixed Cabbage Salad with Beetroot and Carrot — photo 1,false,,,,,,,,kg,,,draft
